day_index,date,history_days_used,candidate,method,quantile,margin_kw,historical_score,realized_candidate_score,mae_kw,daily_energy_error_kwh
137,2025-05-18,137,weighted14_q85,weighted14,0.85,314.06067142857137,6854.516915051691,6651.592819040904,256.45746804894185,-4286.08332142857
138,2025-05-19,138,weighted14_q85,weighted14,0.85,321.9345942857143,6951.120356610197,7733.093065052286,413.4669068518519,-9898.632145079366
139,2025-05-20,139,weighted14_q85,weighted14,0.85,315.51056285714236,7036.947149513591,7001.675344731569,207.46194628306867,-2378.0221130158698
140,2025-05-21,140,weighted14_q85,weighted14,0.85,329.5412037142862,7107.510706660144,7082.2817838873525,287.970131003307,-5729.1768962381
141,2025-05-22,141,weighted14_q85,weighted14,0.85,344.169658380952,7134.0973658540925,5118.372295130643,240.37650111772462,-5649.10496498412
142,2025-05-23,142,weighted14_q85,weighted14,0.85,335.288867333334,7128.942374829024,5169.229641301975,225.20596100595256,-4946.974297666672
143,2025-05-24,143,weighted14_q85,weighted14,0.85,333.2463980952375,7123.68029643241,6906.763237214633,320.48149021825367,-7148.512410952373
144,2025-05-25,144,weighted14_q85,weighted14,0.85,336.7392293333342,7152.320443174619,6315.85542254552,316.3401286190481,-7592.163086857154
145,2025-05-26,145,weighted14_q85,weighted14,0.85,335.95439761904873,7204.755229226925,9013.248719951696,206.1257473842594,-165.56298373017367
146,2025-05-27,146,weighted14_q85,weighted14,0.85,358.21743276190375,7293.572605524673,5691.672202530193,289.0083807275128,-6805.508822158718
147,2025-05-28,147,weighted14_q85,weighted14,0.85,357.9608645714278,7390.9482975074025,7668.311708844638,264.68716146957655,-3500.70298320634
148,2025-05-29,148,mean7_q85,mean7,0.85,348.8454942857143,6998.978531201576,6602.750339274859,186.14875847222226,-1972.172112857143
149,2025-05-30,149,mean7_q85,mean7,0.85,361.2426014285713,6999.132773161589,5134.52259986962,218.3332075099205,-4196.470371190471
150,2025-05-31,150,mean7_q85,mean7,0.85,367.43097999999935,6898.794883577941,6378.388983109146,195.8722526388887,-2734.5163033333233
151,2025-06-01,151,mean7_q85,mean7,0.85,385.2363314285717,6970.193215890758,22647.611485700665,364.58900680555564,5741.60345285714
152,2025-06-02,152,mean7_q85,mean7,0.85,383.5832785714274,7170.3559679327,15232.302634033122,278.504696577381,1237.4279726190646
153,2025-06-03,153,mean7_q85,mean7,0.85,416.68259142857084,7542.298731525076,7857.516529817292,156.17526861111108,-412.1063180952301
154,2025-06-04,154,mean7_q85,mean7,0.85,440.677226428571,7560.353198091786,8364.029596895723,220.27330124503953,-1270.3936558333264
155,2025-06-05,155,mean7_q85,mean7,0.85,436.4660392857136,7601.974765248354,6849.464269698634,169.73985773809514,-880.4344678571347
156,2025-06-06,156,mean7_q85,mean7,0.85,457.6593750000004,7556.077692519579,14949.904663554164,246.33482100694448,2972.6409255952353
157,2025-06-07,157,mean7_q85,mean7,0.85,509.8396057142844,7937.484133947614,10316.01950701316,215.99962380952377,-132.35348285712718
158,2025-06-08,158,mean7_q85,mean7,0.85,531.5496142857148,8059.471452016071,11787.00473764643,562.8067769841272,-13507.362647619051
159,2025-06-09,159,mean7_q85,mean7,0.85,525.6857914285715,8296.139428397675,5889.477454650287,286.8340117658732,-6720.070218571431
160,2025-06-10,160,mean7_q85,mean7,0.85,508.7250957142864,8178.434556300735,5598.235783460979,246.07358082341287,-5382.266628333338
161,2025-06-11,161,mean7_q85,mean7,0.85,501.6825799999998,8138.572919462584,8834.966492908286,221.68850103174597,-2239.6902457142824
